[2019-12-04 10:26:33] app.INFO: Generate txt template payment at /opt/bitnami/prestashop/mails/pl/payment.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template payment_error at /opt/bitnami/prestashop/mails/pl/payment_error.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template payment_error at /opt/bitnami/prestashop/mails/pl/payment_error.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template preparation at /opt/bitnami/prestashop/mails/pl/preparation.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template preparation at /opt/bitnami/prestashop/mails/pl/preparation.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template productoutofstock at /opt/bitnami/prestashop/mails/pl/productoutofstock.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template productoutofstock at /opt/bitnami/prestashop/mails/pl/productoutofstock.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template refund at /opt/bitnami/prestashop/mails/pl/refund.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template refund at /opt/bitnami/prestashop/mails/pl/refund.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template reply_msg at /opt/bitnami/prestashop/mails/pl/reply_msg.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template reply_msg at /opt/bitnami/prestashop/mails/pl/reply_msg.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template shipped at /opt/bitnami/prestashop/mails/pl/shipped.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template shipped at /opt/bitnami/prestashop/mails/pl/shipped.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template test at /opt/bitnami/prestashop/mails/pl/test.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template test at /opt/bitnami/prestashop/mails/pl/test.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template voucher at /opt/bitnami/prestashop/mails/pl/voucher.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template voucher at /opt/bitnami/prestashop/mails/pl/voucher.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template voucher_new at /opt/bitnami/prestashop/mails/pl/voucher_new.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template voucher_new at /opt/bitnami/prestashop/mails/pl/voucher_new.txt [] []
[2019-12-04 10:26:33] app.INFO: Generate html template referralprogram-congratulations at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-congratulations.html [] []
[2019-12-04 10:26:33] app.INFO: Generate txt template referralprogram-congratulations at /opt/bitnami/prestashop/modules//referralprogram/mails/pl/referralprogram-congratulations.txt [] []
